@RELATION POSIT

@attribute classification {Anti-extremist, Pro-extremist, neutral}
@attribute number_of_exclam numeric
@attribute number_of_dollar numeric
@attribute number_of_ast numeric
@attribute number_of_dot numeric
@attribute number_of_0 numeric
@attribute number_of_1 numeric
@attribute number_of_2 numeric
@attribute number_of_3 numeric
@attribute number_of_4 numeric
@attribute number_of_5 numeric
@attribute number_of_6 numeric
@attribute number_of_7 numeric
@attribute number_of_8 numeric
@attribute number_of_9 numeric
@attribute number_of_quest numeric
@attribute number_of_a numeric
@attribute number_of_b numeric
@attribute number_of_c numeric
@attribute number_of_d numeric
@attribute number_of_e numeric
@attribute number_of_f numeric
@attribute number_of_g numeric
@attribute number_of_h numeric
@attribute number_of_i numeric
@attribute number_of_j numeric
@attribute number_of_k numeric
@attribute number_of_l numeric
@attribute number_of_m numeric
@attribute number_of_n numeric
@attribute number_of_o numeric
@attribute number_of_p numeric
@attribute number_of_q numeric
@attribute number_of_r numeric
@attribute number_of_s numeric
@attribute number_of_t numeric
@attribute number_of_u numeric
@attribute number_of_v numeric
@attribute number_of_w numeric
@attribute number_of_x numeric
@attribute number_of_y numeric
@attribute number_of_z numeric
@attribute total_unique_chars numeric
@attribute total_chars numeric
@attribute specials numeric
@attribute total_words numeric
@attribute total_unique_words numeric
@attribute ttr numeric
@attribute number_of_sentences numeric
@attribute asl numeric
@attribute number_of_chars numeric
@attribute awl numeric
@attribute noun_types numeric
@attribute verb_types numeric
@attribute adjective_types numeric
@attribute preposition_types numeric
@attribute possessive_types numeric
@attribute personal_types numeric
@attribute determiner_types numeric
@attribute adverb_types numeric
@attribute particle_types numeric
@attribute interjection_types numeric
@attribute verbs numeric
@attribute nouns numeric
@attribute preposition numeric
@attribute possessive numeric
@attribute personal numeric
@attribute particles numeric
@attribute interjections numeric
@attribute determiners numeric
@attribute adverbs numeric
@attribute adjectives numeric

@data
Pro-extremist,0,0,4,1,114,3,2,5,2,0,1,0,5,2,3,1049,182,441,340,1125,247,229,229,892,14,65,414,273,879,809,254,18,749,749,792,303,144,83,11,164,33,13194,37,3,1747,808,0.462507,53,32.9623,13194,7.55238,533,6,11,7,0,0,2,2,0,0,12,1588,78,0,0,0,0,32,4,28
Pro-extremist,0,0,83,1,105,124,2,45,11,11,9,7,9,16,20,1330,211,587,444,1445,394,294,284,1097,26,103,476,382,1255,1052,304,19,964,946,1005,359,165,109,12,210,39,18017,39,3,2276,837,0.36775,60,37.9333,18017,7.91608,531,5,5,8,0,0,2,2,0,0,10,1586,74,0,0,0,0,32,4,14
Pro-extremist,0,0,21,1,116,31,2,14,3,9,4,3,5,10,1,1063,184,475,379,1165,308,268,259,987,19,94,475,288,894,834,281,18,816,777,836,298,114,122,16,166,36,14395,39,3,1859,829,0.445939,60,30.9833,14395,7.74341,527,13,9,8,0,0,4,2,0,0,26,1556,80,0,0,0,0,36,4,26
Pro-extremist,0,8,1,1,106,8,2,6,2,1,1,1,8,8,6,954,180,413,310,1024,209,201,245,772,16,59,403,264,763,804,253,20,697,714,760,317,104,63,14,156,42,12377,40,4,1644,763,0.464112,54,30.4444,12377,7.52859,520,8,9,8,0,0,2,4,0,0,16,1564,78,0,0,0,0,42,8,22
Pro-extremist,0,0,46,23,16,18,31,14,7,11,14,5,8,9,4,637,82,281,204,543,102,132,129,547,24,31,273,156,489,441,146,20,491,419,536,230,70,68,13,61,8,7774,39,3,1071,533,0.497666,15,71.4,7762,7.24743,304,49,30,15,6,6,5,7,0,1,162,974,148,16,16,0,2,108,16,104
Pro-extremist,0,0,1,1,3,2,0,0,0,0,0,4,4,1,92,925,166,405,274,928,192,213,184,737,14,60,341,250,729,653,215,17,629,633,648,263,102,48,10,141,31,11130,34,3,1431,645,0.450734,40,35.775,11130,7.77778,523,4,6,8,0,0,2,2,0,0,8,1608,74,0,0,0,0,26,4,16
Pro-extremist,0,0,67,1,102,62,2,45,24,11,2,4,20,17,45,1132,182,522,373,1383,274,280,291,940,46,79,430,382,1001,873,271,20,834,815,839,322,140,73,16,196,33,15335,39,3,2074,797,0.384282,49,42.3265,15335,7.39392,520,13,8,7,2,2,3,4,0,0,30,1548,76,8,8,0,0,32,8,20
Pro-extremist,0,0,57,1,133,120,2,34,6,5,15,17,17,8,6,1134,202,570,340,1269,320,279,309,929,30,92,414,320,998,933,297,17,788,824,841,318,133,89,13,180,34,15836,39,3,2055,774,0.376642,43,47.7907,15836,7.70608,521,3,9,8,0,0,2,2,0,0,6,1580,76,0,0,0,0,28,4,22
Pro-extremist,0,0,16,1,105,41,2,9,17,6,1,1,9,6,7,861,155,392,247,888,200,216,195,720,21,71,317,242,686,648,224,17,621,628,613,252,94,56,12,143,34,11238,39,3,1450,662,0.456552,41,35.3659,11238,7.75034,522,3,8,7,0,0,2,2,0,0,6,1574,76,0,0,0,0,28,4,20
Pro-extremist,0,0,26,1,31,2,17,7,23,3,0,6,7,96,7,892,160,396,256,946,214,223,191,742,21,80,344,249,707,675,223,16,678,643,635,261,102,67,10,165,34,11764,38,3,1518,695,0.457839,41,37.0244,11764,7.74967,523,4,6,7,0,0,2,2,0,0,8,1568,78,0,0,0,0,36,4,16
Pro-extremist,0,0,103,1,126,27,2,44,10,12,11,7,16,14,60,1258,204,608,401,1345,357,318,316,1016,33,87,450,387,1110,996,297,17,880,854,895,365,125,95,11,231,32,16967,39,3,2233,807,0.361397,48,46.5208,16967,7.5983,529,3,6,8,0,0,2,2,0,0,6,1582,78,0,0,0,0,26,4,16
Pro-extremist,0,0,91,1,114,94,2,28,11,14,5,10,8,12,14,1131,184,589,350,1229,311,280,289,927,23,85,431,341,992,935,260,16,781,798,847,311,129,95,13,194,33,15683,39,3,2044,774,0.378669,48,42.5833,15683,7.6727,521,3,7,8,0,0,2,2,0,0,6,1570,78,0,0,0,0,30,4,18
Pro-extremist,0,0,8,1,15,2,13,1,1,1,3,5,4,90,1,816,154,353,240,807,179,184,158,687,16,57,315,223,626,592,197,16,579,575,555,244,93,47,11,136,31,10190,39,3,1313,630,0.479817,39,33.6667,10190,7.76085,520,4,7,8,0,0,2,2,0,0,8,1568,74,0,0,0,0,30,4,18
Pro-extremist,0,0,32,1,34,2,22,8,22,3,0,5,6,96,8,896,161,396,256,958,216,225,191,746,21,82,346,251,709,677,225,17,690,653,637,261,102,67,10,165,34,11851,38,3,1529,700,0.457816,41,37.2927,11851,7.75082,521,5,5,6,0,0,2,2,0,0,10,1574,72,0,0,0,0,30,4,14
Pro-extremist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pro-extremist,0,0,101,11,47,20,101,50,4,44,78,63,32,71,52,440,45,169,105,375,95,101,115,448,18,15,142,94,405,287,91,6,305,329,316,186,53,30,8,70,4,6665,39,3,772,453,0.586788,3,257.333,6656,8.62176,220,8,4,8,4,4,3,2,0,0,16,730,132,10,10,0,0,24,4,22
Pro-extremist,0,0,58,68,234,51,3,14,37,25,16,24,8,13,12,2713,389,1324,1008,3066,590,593,719,2530,90,102,1289,735,2177,2152,945,66,1943,1909,2757,851,351,301,72,354,8,35755,39,3,5161,1215,0.235419,210,24.5762,35680,6.91339,192,79,46,16,8,8,6,16,0,0,284,728,180,50,50,0,0,116,52,158
Pro-extremist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pro-extremist,0,0,0,0,10,35,16,25,4,3,3,11,1,12,4,493,31,172,136,328,65,73,72,350,7,11,185,90,297,266,77,6,320,311,369,187,44,15,3,45,3,4856,37,1,628,334,0.531847,11,57.0909,4856,7.73248,253,36,34,9,6,6,3,7,0,0,84,778,82,28,28,0,0,40,16,106
Pro-extremist,0,0,0,0,31,47,15,39,4,4,5,10,2,14,1,350,28,131,102,249,55,77,60,277,6,11,115,83,246,207,73,1,243,216,252,122,37,13,2,35,4,3841,37,1,526,289,0.54943,10,52.6,3841,7.30228,209,33,21,9,6,6,4,5,1,0,76,604,76,24,24,2,0,34,10,64
Pro-extremist,0,0,0,0,31,47,15,39,4,4,5,10,2,14,1,350,28,131,102,249,55,77,60,277,6,11,115,83,246,207,73,1,243,216,252,122,37,13,2,35,4,3841,37,1,526,289,0.54943,10,52.6,3841,7.30228,209,33,21,9,6,6,4,5,1,0,76,604,76,24,24,2,0,34,10,64
Pro-extremist,0,0,0,11,1,36,17,33,6,9,12,22,5,3,3,403,38,100,113,306,69,75,60,327,12,14,112,80,294,252,87,0,240,255,290,121,31,26,7,32,1,4336,37,2,571,300,0.525394,9,63.4444,4336,7.5937,218,31,20,11,6,6,5,8,0,0,66,688,82,24,24,0,0,36,30,62
Pro-extremist,0,0,0,11,1,36,17,33,6,9,12,22,5,3,3,403,38,100,113,306,69,75,60,327,12,14,112,80,294,252,87,0,240,255,290,121,31,26,7,32,1,4336,37,2,571,300,0.525394,9,63.4444,4336,7.5937,218,31,20,11,6,6,5,8,0,0,66,688,82,24,24,0,0,36,30,62
Pro-extremist,0,0,0,11,1,36,17,33,6,9,12,22,5,3,3,403,38,100,113,306,69,75,60,327,12,14,112,80,294,252,87,0,240,255,290,121,31,26,7,32,1,4336,37,2,571,300,0.525394,9,63.4444,4336,7.5937,218,31,20,11,6,6,5,8,0,0,66,688,82,24,24,0,0,36,30,62
Pro-extremist,0,0,0,12,1,16,19,13,5,2,3,8,1,1,0,374,52,147,125,393,89,77,94,347,17,15,119,87,280,250,97,24,260,243,365,131,37,26,5,37,1,4637,37,2,643,360,0.559876,16,40.1875,4637,7.21151,232,60,33,18,7,7,7,8,0,0,160,636,124,26,26,0,0,108,20,80
Pro-extremist,0,0,0,28,65,2,39,12,36,15,15,27,17,25,88,370,65,118,142,447,117,55,113,305,23,14,94,118,268,232,82,3,326,221,369,112,29,30,7,39,0,5207,37,2,759,351,0.462451,29,26.1724,5207,6.86034,208,49,25,17,1,1,7,6,0,0,128,742,160,2,2,0,0,138,18,60
Pro-extremist,0,0,0,0,6,10,16,4,1,3,4,7,3,8,26,89,12,27,29,86,21,12,19,69,1,2,20,29,62,49,28,2,56,57,75,18,8,9,4,10,0,1149,36,1,155,118,0.76129,10,15.5,1149,7.4129,68,16,4,9,0,0,4,1,0,0,34,178,24,0,0,0,0,14,2,8
Pro-extremist,0,0,0,88,11,23,22,29,20,12,22,15,8,4,10,453,39,170,113,363,72,95,95,412,26,11,161,102,371,253,73,1,270,311,299,174,48,29,13,58,9,5613,38,2,664,386,0.581325,3,221.333,5613,8.45331,315,14,9,9,6,6,3,3,0,0,28,976,94,20,20,0,0,22,6,30
Pro-extremist,0,0,0,298,105,93,2,35,36,53,65,49,37,41,82,515,56,204,177,448,86,89,84,386,14,22,190,113,400,331,126,6,355,346,388,174,49,28,20,65,0,6734,37,2,939,519,0.552716,9,104.333,6734,7.17146,331,27,29,12,0,0,3,3,0,0,70,978,118,0,0,0,0,18,6,116
Pro-extremist,0,0,0,216,71,2,41,24,30,37,45,42,82,33,65,421,47,151,163,372,66,57,74,301,17,15,147,95,311,256,100,7,282,270,328,151,37,21,19,54,1,5426,38,2,770,425,0.551948,9,85.5556,5426,7.04675,286,20,18,12,0,0,4,3,0,0,42,836,130,0,0,0,0,24,6,82
Pro-extremist,0,0,0,244,68,2,35,26,42,41,32,47,48,92,69,392,44,139,143,352,57,64,70,302,15,18,145,94,303,238,93,5,260,291,315,146,37,24,18,50,1,5288,38,2,752,434,0.577128,10,75.2,5288,7.03191,271,29,20,12,0,0,4,3,0,0,62,786,92,0,0,0,0,24,6,92
Pro-extremist,0,0,287,1,115,87,2,68,34,64,59,43,46,60,102,589,62,217,209,441,91,115,96,486,23,26,206,137,436,368,140,5,411,377,443,194,58,35,18,66,2,7521,39,3,1051,578,0.549952,10,105.1,7521,7.15604,326,17,28,10,0,0,2,1,1,0,42,1008,110,0,0,2,0,10,2,118
Pro-extremist,0,0,0,0,7,18,13,33,3,4,3,6,4,7,11,450,85,140,196,631,149,99,211,436,4,8,144,137,434,388,115,7,347,332,502,146,48,36,17,48,0,6455,36,1,1001,378,0.377622,21,47.6667,6455,6.44855,182,55,28,18,6,6,7,6,0,0,194,614,306,24,24,0,0,250,20,94
Pro-extremist,0,0,0,0,32,104,14,38,20,10,15,11,11,26,133,369,62,120,166,427,95,66,97,268,23,10,115,131,276,271,88,4,349,223,311,125,36,26,10,68,0,5267,36,1,782,335,0.428389,14,55.8571,5267,6.73529,235,30,10,17,0,0,5,3,0,0,66,904,118,0,0,0,0,62,8,24
Pro-extremist,0,0,0,0,6,21,6,1,39,3,6,4,4,4,29,450,53,146,223,529,103,100,167,439,14,15,164,123,403,365,129,5,343,319,415,174,57,60,15,52,1,6029,37,1,889,414,0.465692,38,23.3947,6029,6.78178,246,84,48,17,9,9,10,11,0,0,220,734,212,48,48,0,0,162,32,146
Pro-extremist,0,0,0,0,6,10,9,5,2,3,2,5,1,3,6,87,12,21,33,79,14,16,24,61,2,4,21,28,51,51,25,3,64,52,63,21,9,10,3,11,0,1070,36,1,146,119,0.815068,9,16.2222,1070,7.32877,79,14,2,8,0,0,4,1,0,0,30,180,24,0,0,0,0,18,2,4
Pro-extremist,0,0,0,14,1,37,9,34,4,7,6,12,7,9,52,512,52,163,225,526,106,86,137,458,15,24,180,117,435,332,115,4,375,362,440,201,46,42,8,67,2,6356,38,2,912,415,0.455044,34,26.8235,6356,6.9693,291,55,32,16,3,3,6,7,1,0,144,924,218,12,12,2,0,160,14,108
Pro-extremist,0,0,0,0,6,33,5,2,7,3,56,7,3,15,56,744,68,291,337,838,154,189,247,773,25,41,299,214,713,631,232,4,554,573,700,234,99,87,13,93,0,10018,36,1,1438,556,0.386648,54,26.6296,10018,6.96662,236,69,64,16,2,2,6,12,1,0,212,768,258,8,8,2,0,182,34,208
Pro-extremist,0,0,0,17,10,13,16,4,5,6,9,7,1,0,4,315,27,123,86,235,61,70,65,254,10,7,96,76,243,187,65,1,190,216,235,124,22,15,4,29,6,3596,37,2,458,274,0.598253,2,229,3561,7.77511,231,13,9,5,5,5,4,3,0,1,26,664,62,18,18,0,14,28,6,24
Pro-extremist,0,0,0,0,12,33,11,5,3,48,6,8,6,5,55,592,52,208,292,707,99,147,230,631,19,25,216,151,553,461,180,7,432,436,590,221,66,69,11,74,0,8042,36,1,1165,472,0.40515,43,27.093,8042,6.903,212,74,56,15,3,3,7,12,0,0,202,712,258,18,18,0,0,216,26,182
Pro-extremist,0,0,0,0,21,35,9,7,4,11,11,77,7,9,73,722,70,304,362,824,120,150,253,691,18,32,252,169,673,522,170,5,510,549,693,343,76,79,13,96,0,9720,36,1,1364,523,0.383431,63,21.6508,9720,7.1261,236,68,44,17,3,3,6,5,0,0,196,826,258,6,6,0,0,166,10,162
Pro-extremist,0,0,0,0,9,31,5,3,4,4,58,11,6,6,53,799,91,239,371,912,143,161,249,800,30,41,257,253,747,592,165,4,564,581,718,236,79,83,17,82,2,10210,37,1,1481,572,0.386226,55,26.9273,10210,6.89399,259,55,48,17,4,4,6,15,1,0,176,820,234,10,10,2,0,192,44,198
Pro-extremist,0,0,0,0,8,34,4,2,4,53,8,7,8,10,59,713,83,242,336,864,157,181,242,705,25,39,278,181,734,562,185,5,514,500,681,224,98,78,11,78,0,9463,36,1,1344,536,0.39881,53,25.3585,9463,7.04092,265,63,49,15,2,2,8,9,0,0,186,828,262,6,6,0,0,212,18,158
Pro-extremist,0,0,0,20,1,117,92,16,5,7,12,26,19,27,185,1800,217,495,706,1725,334,368,605,1514,100,148,545,433,1388,1090,389,16,1242,1128,1582,530,183,203,65,237,13,21591,38,2,3179,1014,0.318968,117,27.1709,21591,6.79176,249,54,46,15,4,4,7,10,0,0,156,842,238,8,8,0,0,174,22,136
Pro-extremist,0,0,0,0,8,23,5,2,39,6,4,7,4,8,35,517,57,151,203,482,87,123,154,417,8,21,174,131,440,361,167,4,336,315,439,166,49,49,14,59,0,6226,36,1,896,384,0.428571,39,22.9744,6226,6.94866,246,68,42,20,2,2,8,8,0,0,188,818,250,6,6,0,0,192,16,128
Pro-extremist,0,0,0,0,6,11,15,4,1,6,3,4,2,3,10,197,26,64,83,216,40,37,46,156,2,8,76,50,147,150,59,2,147,129,157,61,16,17,6,31,0,2564,36,1,351,219,0.623932,15,23.4,2564,7.30484,129,27,21,16,2,2,6,13,0,0,58,344,86,4,4,0,0,42,26,50
Pro-extremist,0,0,0,0,23,24,15,2,3,10,57,8,2,0,11,561,72,160,212,510,93,92,148,522,30,34,195,135,471,374,138,4,388,406,419,178,54,72,6,53,2,6956,36,1,950,421,0.443158,49,19.3878,6956,7.32211,257,71,40,20,6,6,5,9,0,0,190,892,220,22,22,0,0,130,20,130
Pro-extremist,0,0,0,43,1,32,17,4,2,11,8,3,0,89,22,923,89,315,345,971,157,178,297,805,19,45,339,195,754,650,230,4,607,630,816,310,97,105,24,97,0,11090,36,2,1602,614,0.383271,79,20.2785,11090,6.9226,237,75,51,20,5,5,7,5,0,0,210,778,238,16,16,0,0,192,16,178
Pro-extremist,0,0,45,1,39,18,4,5,5,15,10,3,2,88,23,1006,101,309,374,896,193,155,233,787,29,41,309,247,778,649,227,8,689,624,765,263,69,89,27,128,6,11191,39,3,1600,692,0.4325,73,21.9178,11191,6.99437,273,56,46,19,5,5,5,3,1,0,144,832,230,14,14,2,0,148,6,158
Pro-extremist,0,0,87,10,10,18,21,24,7,13,20,14,2,7,8,467,38,180,124,380,88,104,131,429,17,9,150,104,402,301,87,2,287,322,342,195,53,24,12,61,15,6210,39,3,754,403,0.534483,3,251.333,6175,8.18966,345,14,12,9,7,7,3,3,0,1,28,1016,136,22,22,0,14,38,6,38
Pro-extremist,0,0,0,0,23,21,13,2,2,47,7,8,1,0,12,519,77,180,210,549,117,88,159,526,6,25,193,174,505,405,127,6,350,384,463,135,42,53,10,58,2,6656,36,1,951,378,0.397476,46,20.6739,6656,6.99895,249,53,37,14,3,3,3,6,0,0,124,856,254,10,10,0,0,164,26,144
Pro-extremist,0,0,0,0,17,21,13,2,2,4,57,8,1,4,18,607,56,249,225,634,136,106,185,592,21,44,230,169,585,511,164,2,448,429,538,157,82,63,13,70,1,7798,37,1,1103,463,0.419764,56,19.6964,7798,7.06981,286,58,42,15,4,4,6,9,0,0,154,876,286,16,16,0,0,164,22,148
Pro-extremist,0,0,0,50,1,56,42,11,10,49,15,24,10,6,36,357,50,115,130,382,101,56,84,298,12,14,96,122,262,215,68,1,272,225,326,98,36,23,10,28,0,4769,37,2,663,296,0.446456,38,17.4474,4769,7.19306,197,32,16,17,2,2,4,5,0,0,74,706,128,6,6,0,0,90,14,50
Pro-extremist,0,0,278,1,104,84,2,81,32,44,47,39,22,38,61,573,63,212,169,443,99,104,103,482,23,27,214,148,451,362,117,4,382,349,415,187,58,31,23,75,2,7740,39,3,974,503,0.516427,24,40.5833,7740,7.94661,329,13,27,12,1,1,1,3,0,0,26,1030,116,4,4,0,0,14,6,82
Pro-extremist,0,0,0,0,8,22,16,3,38,2,5,9,3,1,7,500,89,159,203,655,156,105,212,474,5,8,161,159,478,414,125,6,377,363,536,155,53,34,20,47,0,7067,36,1,1062,384,0.361582,33,32.1818,7067,6.65443,187,55,30,18,7,7,7,6,0,0,194,644,294,28,28,0,0,234,20,98
Pro-extremist,0,0,0,0,17,24,11,2,2,52,8,8,1,1,14,447,57,146,176,508,78,79,153,436,13,16,158,118,410,355,120,3,314,328,431,151,71,59,11,46,0,5872,36,1,851,383,0.450059,51,16.6863,5872,6.90012,211,64,59,19,9,9,6,11,0,0,172,696,196,54,54,0,0,134,32,172
Pro-extremist,0,0,0,0,20,10,17,15,3,2,4,10,2,0,9,173,25,57,50,147,35,27,49,116,8,6,56,55,121,111,35,1,137,105,125,43,13,9,4,19,1,2099,36,1,282,188,0.666667,9,31.3333,2099,7.44326,148,6,8,8,3,3,3,2,0,0,12,392,30,8,8,0,0,20,4,18
Pro-extremist,0,0,0,0,41,59,38,27,11,7,7,12,5,5,49,271,50,96,99,292,63,40,68,202,13,8,87,107,214,203,61,1,243,170,222,75,32,16,9,43,1,3737,37,1,557,257,0.4614,26,21.4231,3737,6.70916,185,14,11,12,1,1,2,2,0,0,30,640,64,4,4,0,0,30,6,30
Pro-extremist,0,0,0,0,6,14,28,8,2,2,4,8,1,0,3,210,25,75,76,196,35,33,32,171,2,4,77,57,170,146,62,1,138,133,170,63,19,14,9,25,0,2515,35,1,345,174,0.504348,27,12.7778,2515,7.28986,104,18,20,11,2,2,3,9,0,0,40,332,54,6,6,0,0,22,20,54
Pro-extremist,0,0,0,0,36,42,29,28,2,10,4,16,1,7,9,477,45,133,219,496,91,72,142,422,28,20,176,131,427,320,117,3,320,367,394,174,50,55,8,47,1,6026,37,1,849,378,0.44523,27,31.4444,6026,7.09776,241,73,27,19,5,5,6,7,0,0,202,856,188,20,20,0,0,114,20,98
Pro-extremist,0,0,92,10,15,18,26,8,19,9,12,7,5,0,6,484,38,150,116,373,81,101,111,435,14,17,155,111,433,307,86,8,297,313,355,199,58,35,13,77,13,5942,38,3,717,416,0.580195,2,358.5,5907,8.23849,341,18,18,12,5,5,4,5,0,1,36,1008,124,18,18,0,14,40,10,46
Pro-extremist,0,0,0,98,72,2,59,3,14,11,19,62,2,19,8,931,82,316,367,977,161,157,312,815,27,32,296,264,796,649,239,3,586,631,825,298,116,95,31,114,3,11490,38,2,1627,567,0.348494,60,27.1167,11490,7.06208,222,82,45,22,10,10,8,9,0,0,210,732,248,46,46,0,0,154,24,184
Pro-extremist,0,0,0,0,73,69,52,5,16,45,5,20,4,14,16,676,91,218,308,724,132,115,209,623,15,46,230,155,610,490,162,3,467,490,609,211,67,74,23,86,4,8769,37,1,1251,516,0.41247,41,30.5122,8769,7.00959,223,61,37,19,6,6,9,13,0,0,168,784,208,26,26,0,0,148,38,126
Pro-extremist,0,0,0,0,32,46,27,33,3,16,5,21,1,7,2,504,64,219,232,589,95,98,143,594,11,28,187,137,532,405,151,2,340,440,476,145,78,43,6,65,1,6994,37,1,942,409,0.434183,32,29.4375,6994,7.42463,247,68,45,17,4,4,7,8,0,0,182,838,216,18,18,0,0,140,22,130
Pro-extremist,0,0,0,0,56,47,39,2,35,11,4,16,1,9,3,557,78,208,220,644,125,94,175,515,17,28,194,155,496,415,129,5,402,426,476,136,79,44,17,60,5,7203,37,1,989,435,0.439838,34,29.0882,7203,7.28311,251,64,45,15,5,5,6,12,0,0,172,824,234,12,12,0,0,162,24,130
Pro-extremist,0,0,0,71,1,71,66,28,12,13,10,28,10,16,15,331,47,114,122,369,100,37,87,288,15,13,99,110,253,204,60,1,247,221,318,97,33,21,10,30,0,4638,37,2,641,302,0.471139,19,33.7368,4638,7.23557,200,33,16,16,2,2,4,5,0,0,88,716,128,6,6,0,0,88,14,46
Pro-extremist,0,0,0,71,1,71,66,28,12,13,10,28,10,16,15,331,47,114,122,369,100,37,87,288,15,13,99,110,253,204,60,1,247,221,318,97,33,21,10,30,0,4638,37,2,641,302,0.471139,19,33.7368,4638,7.23557,200,33,16,16,2,2,4,5,0,0,88,716,128,6,6,0,0,88,14,46
Pro-extremist,0,0,0,336,1,125,97,41,56,43,44,34,44,48,98,541,56,197,168,437,92,94,104,421,21,29,193,141,409,307,111,3,351,329,398,181,46,27,21,77,6,7739,38,2,978,504,0.515337,6,163,7739,7.91309,310,16,20,9,1,1,3,3,0,0,36,946,78,4,4,0,0,24,8,82
Pro-extremist,0,0,0,336,1,125,97,41,56,43,44,34,44,48,98,541,56,197,168,437,92,94,104,421,21,29,193,141,409,307,111,3,351,329,398,181,46,27,21,77,6,7739,38,2,978,504,0.515337,6,163,7739,7.91309,310,16,20,9,1,1,3,3,0,0,36,946,78,4,4,0,0,24,8,82
Pro-extremist,0,0,0,0,18,36,26,27,4,8,5,14,4,6,5,487,86,156,200,653,156,95,212,468,5,7,161,149,476,401,111,6,357,363,535,155,53,34,18,47,0,7177,36,1,1055,387,0.366825,14,75.3571,7177,6.80284,185,55,30,18,7,7,7,6,0,0,198,628,284,28,28,0,0,226,20,98
Pro-extremist,0,0,0,0,58,63,55,8,9,3,12,7,5,10,31,265,46,94,96,290,70,33,67,209,14,7,88,98,228,194,56,1,224,170,220,75,35,20,8,36,1,3797,37,1,550,252,0.458182,6,91.6667,3797,6.90364,186,17,10,12,1,1,2,1,0,0,48,656,74,4,4,0,0,32,4,24
Pro-extremist,0,0,0,48,20,19,21,28,2,1,1,1,0,0,3,266,32,110,122,393,97,62,70,250,5,4,89,86,276,260,97,13,249,212,338,131,41,27,9,23,0,4276,35,2,577,236,0.409012,20,28.85,4276,7.41075,150,44,29,16,3,3,6,8,1,0,144,516,146,10,10,4,0,96,18,66
Pro-extremist,0,0,85,10,15,17,24,7,7,20,10,5,4,9,3,488,41,182,137,379,96,107,126,477,29,10,167,102,434,321,97,10,293,343,362,193,63,33,14,76,16,6311,39,3,772,439,0.568653,3,257.333,6276,8.12953,368,22,16,13,7,7,4,4,0,1,44,1078,122,28,28,0,14,52,8,40
Pro-extremist,0,0,0,0,51,59,46,2,39,15,5,20,1,14,0,561,83,177,251,605,108,97,206,543,26,35,221,160,487,409,139,1,374,371,553,190,82,61,11,53,0,7406,35,1,1078,453,0.420223,38,28.3684,7406,6.87013,197,85,58,20,10,10,8,16,0,0,248,648,226,68,68,0,0,154,40,160
Pro-extremist,0,0,0,0,27,31,24,2,4,4,13,1,5,9,2,158,22,57,54,143,36,24,40,127,3,3,46,53,126,104,38,3,123,100,128,46,12,13,5,17,0,2151,36,1,269,184,0.684015,7,38.4286,2151,7.99628,124,16,7,12,2,2,4,2,0,0,34,322,46,6,6,0,0,28,4,14
Pro-extremist,0,0,0,0,17,21,15,2,4,3,10,1,8,2,0,199,24,74,74,202,36,24,35,166,2,4,79,48,171,137,51,1,124,130,171,64,20,14,8,25,0,2480,35,1,339,175,0.516224,7,48.4286,2480,7.31563,108,18,20,12,2,2,3,8,0,0,52,348,58,6,6,0,0,28,18,52
Pro-extremist,0,0,0,0,32,47,35,3,23,48,5,22,4,7,7,1079,103,285,389,988,212,181,295,919,29,50,402,216,865,676,253,7,690,751,863,287,111,108,26,152,9,12169,37,1,1722,737,0.427991,46,37.4348,12169,7.06678,248,82,34,20,9,9,7,10,0,0,212,770,246,42,42,0,0,166,34,114
Pro-extremist,0,0,0,0,16,22,18,18,3,7,3,13,1,3,1,552,49,194,164,473,104,70,104,475,9,16,188,111,427,331,106,2,367,393,448,198,49,37,8,61,1,6001,37,1,802,400,0.498753,17,47.1765,6001,7.48254,306,47,32,16,5,5,4,6,0,0,124,964,164,14,14,0,0,86,14,96
Pro-extremist,0,0,0,0,26,38,30,26,2,13,4,18,1,6,0,696,75,229,248,649,149,137,182,663,16,21,242,139,581,492,154,2,463,496,592,210,68,63,10,74,1,8163,36,1,1135,552,0.486344,25,45.4,8163,7.19207,259,75,47,18,7,7,7,14,1,0,174,816,230,32,32,2,0,172,32,112
Pro-extremist,0,0,0,0,42,53,44,3,12,45,6,17,2,11,0,984,94,320,368,963,204,170,294,842,18,43,363,188,802,677,225,3,663,703,852,345,109,81,30,104,1,11522,36,1,1605,648,0.403738,44,36.4773,11522,7.17882,246,77,41,15,7,7,7,15,1,0,198,818,214,34,34,2,0,154,38,156
